Time (ms),Voltage (V)
4.01681907,-0.1058992
4.01937907,-0.1148411
4.02193907,-0.1058992
4.02449907,-0.1148411
4.02705907,-0.1148411
4.02961907,-0.1058992
4.03217907,-0.1058992
4.03473907,-0.1058992
4.03729907,-0.1148411
4.03985907,-0.1148411
4.04241907,-0.1148411
4.04497907,-0.1148411
4.04753907,-0.1148411
4.05009907,-0.1058992
4.05265907,-0.1058992
4.05521907,-0.1058992
4.05777907,-0.1058992
4.06033907,-0.1058992
4.06289907,-0.1058992
4.06545907,-0.1058992
4.06801907,-0.1058992
4.07057907,-0.1058992
4.07313907,-0.1058992
4.07569907,-0.1058992
4.07825907,-0.1058992
4.08081907,-0.1058992
4.08337907,-0.1058992
4.08593907,-0.1058992
4.08849907,-0.1058992
4.09105907,-0.1058992
4.09361907,-0.1058992
4.09617907,-0.1058992
4.09873907,-0.1058992
4.10129907,-0.1058992
4.10385907,-0.1058992
4.10641907,-0.1058992
4.10897907,-0.1058992
4.11153907,-0.1058992
4.11409907,-0.1058992
4.11665907,-0.1148411
4.11921907,-0.1148411
4.12177907,-0.1058992
4.12433907,-0.1148411
4.12689907,-0.1058992
4.12945907,-0.1058992
4.13201907,-0.1058992
4.13457907,-0.1058992
4.13713907,-0.1058992
4.13969907,-0.1058992
4.14225907,-0.1058992
4.14481907,-0.1058992
4.14737906,-0.1058992
4.14993906,-0.1058992
4.15249906,-0.1058992
4.15505906,-0.1058992
4.15761906,-0.1058992
4.16017906,-0.1058992
4.16273906,-0.1058992
4.16529906,-0.1058992
4.16785906,-0.1058992
4.17041906,-0.1058992
4.17297906,-0.1058992
4.17553906,-0.1058992
4.17809906,-0.1058992
4.18065906,-0.1058992
4.18321906,-0.1058992
4.18577906,-0.1058992
4.18833906,-0.1058992
4.19089906,-0.1058992
4.19345906,-0.1058992
4.19601906,-0.1058992
4.19857906,-0.1058992
4.20113906,-0.09698782
4.20369906,-0.1058992
4.20625906,-0.1058992
4.20881906,-0.1058992
4.21137906,-0.1058992
4.21393906,-0.1058992
4.21649906,-0.1058992
4.21905906,-0.1058992
4.22161906,-0.1058992
4.22417906,-0.1058992
4.22673906,-0.1058992
4.22929906,-0.1058992
4.23185906,-0.1058992
4.23441906,-0.1058992
4.23697906,-0.1058992
4.23953906,-0.1058992
4.24209906,-0.1058992
4.24465906,-0.1058992
4.24721906,-0.1058992
4.24977906,-0.1058992
4.25233906,-0.1058992
4.25489906,-0.09698782
4.25745906,-0.09698782
4.26001906,-0.1058992
4.26257906,-0.09698782
4.26513906,-0.1058992
4.26769906,-0.09698782
4.27025906,-0.09698782
4.27281906,-0.09698782
4.27537906,-0.09698782
4.27793906,-0.09698782
4.28049906,-0.09698782
4.28305906,-0.1058992
4.28561906,-0.09698782
4.28817906,-0.09698782
4.29073906,-0.09698782
4.29329906,-0.09698782
4.29585906,-0.09698782
4.29841906,-0.09698782
4.30097906,-0.09698782
4.30353906,-0.09698782
4.30609906,-0.09698782
4.30865906,-0.09698782
4.31121906,-0.09698782
4.31377906,-0.09698782
4.31633906,-0.09698782
4.31889906,-0.09698782
4.32145906,-0.09698782
4.32401906,-0.09698782
4.32657906,-0.09698782
4.32913906,-0.08807642
4.33169906,-0.09698782
4.33425906,-0.09698782
4.33681906,-0.08807642
